Pool boundary coordinates (x, y):
Point 1: [164, 113]
Point 2: [163, 114]
Point 3: [162, 114]
Point 4: [161, 114]
Point 5: [160, 114]
Point 6: [159, 114]
Point 7: [158, 114]
Point 8: [157, 114]
Point 9: [156, 114]
Point 10: [155, 114]
Point 11: [154, 114]
Point 12: [153, 115]
Point 13: [152, 115]
Point 14: [151, 115]
Point 15: [150, 116]
Point 16: [149, 116]
Point 17: [148, 116]
Point 18: [147, 116]
Point 19: [146, 117]
Point 20: [145, 117]
Point 21: [144, 118]
Point 22: [143, 119]
Point 23: [142, 119]
Point 24: [141, 119]
Point 25: [140, 120]
Point 26: [139, 121]
Point 27: [138, 121]
Point 28: [137, 122]
Point 29: [136, 122]
Point 30: [135, 123]
Point 31: [134, 124]
Point 32: [133, 125]
Point 33: [132, 126]
Point 34: [131, 127]
Point 35: [130, 128]
Point 36: [130, 129]
Point 37: [130, 130]
Point 38: [130, 131]
Point 39: [130, 132]
Point 40: [130, 133]
Point 41: [131, 133]
Point 42: [132, 133]
Point 43: [133, 134]
Point 44: [134, 134]
Point 45: [135, 134]
Point 46: [136, 134]
Point 47: [137, 134]
Point 48: [138, 135]
Point 49: [139, 135]
Point 50: [140, 136]
Point 51: [141, 137]
Point 52: [141, 138]
Point 53: [141, 139]
Point 54: [141, 140]
Point 55: [142, 140]
Point 56: [143, 140]
Point 57: [144, 140]
Point 58: [145, 140]
Point 59: [146, 140]
Point 60: [147, 140]
Point 61: [148, 140]
Point 62: [149, 139]
Point 63: [150, 139]
Point 64: [151, 138]
Point 65: [152, 138]
Point 66: [153, 137]
Point 67: [154, 136]
Point 68: [155, 135]
Point 69: [156, 134]
Point 70: [157, 133]
Point 71: [158, 133]
Point 72: [159, 132]
Point 73: [160, 132]
Point 74: [161, 132]
Point 75: [162, 131]
Point 76: [163, 131]
Point 77: [164, 131]
Point 78: [165, 131]
Point 79: [166, 131]
Point 80: [167, 131]
Point 81: [168, 131]
Point 82: [169, 130]
Point 83: [170, 129]
Point 84: [171, 129]
Point 85: [172, 128]
Point 86: [173, 128]
Point 87: [174, 127]
Point 88: [175, 127]
Point 89: [176, 126]
Point 90: [177, 125]
Point 91: [178, 124]
Point 92: [179, 123]
Point 93: [179, 122]
Point 94: [179, 121]
Point 95: [179, 120]
Point 96: [179, 119]
Point 97: [178, 119]
Point 98: [177, 118]
Point 99: [177, 117]
Point 100: [177, 116]
Point 101: [176, 115]
Point 102: [175, 115]
Point 103: [174, 114]
Point 104: [173, 114]
Point 105: [172, 113]
Point 106: [171, 113]
Point 107: [170, 113]
Point 108: [169, 113]
Point 109: [168, 113]
Point 110: [167, 113]
Point 111: [166, 113]
Point 112: [165, 113]
Point 113: [116, 51]
Point 114: [115, 52]
Point 115: [114, 53]
Point 116: [113, 53]
Point 117: [112, 54]
Point 118: [112, 55]
Point 119: [111, 56]
Point 120: [111, 57]
Point 121: [111, 58]
Point 122: [111, 59]
Point 123: [111, 60]
Point 124: [111, 61]
Point 125: [111, 62]
Point 126: [111, 63]
Point 127: [112, 64]
Point 128: [112, 65]
Point 129: [112, 66]
Point 130: [113, 67]
Point 131: [113, 68]
Point 132: [114, 69]
Point 133: [115, 70]
Point 134: [115, 71]
Point 135: [115, 72]
Point 136: [115, 73]
Point 137: [115, 74]
Point 138: [115, 75]
Point 139: [115, 76]
Point 140: [116, 76]
Point 141: [117, 77]
Point 142: [118, 78]
Point 143: [119, 78]
Point 144: [120, 78]
Point 145: [121, 79]
Point 146: [122, 79]
Point 147: [123, 80]
Point 148: [124, 81]
Point 149: [124, 82]
Point 150: [125, 83]
Point 151: [126, 84]
Point 152: [127, 85]
Point 153: [128, 86]
Point 154: [129, 86]
Point 155: [130, 86]
Point 156: [131, 87]
Point 157: [132, 87]
Point 158: [133, 88]
Point 159: [134, 88]
Point 160: [135, 89]
Point 161: [136, 90]
Point 162: [137, 90]
Point 163: [138, 90]
Point 164: [139, 90]
Point 165: [140, 90]
Point 166: [141, 90]
Point 167: [142, 89]
Point 168: [143, 89]
Point 169: [144, 88]
Point 170: [145, 87]
Point 171: [146, 87]
Point 172: [147, 86]
Point 173: [148, 85]
Point 174: [149, 84]
Point 175: [149, 83]
Point 176: [150, 82]
Point 177: [150, 81]
Point 178: [150, 80]
Point 179: [150, 79]
Point 180: [150, 78]
Point 181: [150, 77]
Point 182: [149, 76]
Point 183: [149, 75]
Point 184: [148, 75]
Point 185: [147, 74]
Point 186: [146, 73]
Point 187: [145, 72]
Point 188: [144, 71]
Point 189: [144, 70]
Point 190: [143, 69]
Point 191: [143, 68]
Point 192: [142, 68]
Point 193: [141, 67]
Point 194: [140, 67]
Point 195: [139, 67]
Point 196: [138, 67]
Point 197: [137, 66]
Point 198: [136, 66]
Point 199: [135, 65]
Point 200: [134, 65]
Point 201: [133, 64]
Point 202: [132, 64]
Point 203: [131, 63]
Point 204: [131, 62]
Point 205: [130, 61]
Point 206: [130, 60]
Point 207: [129, 59]
Point 208: [128, 58]
Point 209: [128, 57]
Point 210: [127, 56]
Point 211: [127, 55]
Point 212: [126, 54]
Point 213: [125, 53]
Point 214: [124, 53]
Point 215: [123, 52]
Point 216: [122, 51]
Point 217: [121, 51]
Point 218: [120, 51]
Point 219: [119, 51]
Point 220: [118, 51]
Point 221: [117, 51]
